Season,Name,Team,G,PA,wOBA,wRCplus,BsR,Off,Def,WAR,Age,playerid
1889,Alex Beam,Alleghenys,2,6,0.221,45,0,-0.5,0.4,0,19,1000707
2001,Alex Cintron,Diamondbacks,8,7,0.35,106,0,0.1,1.1,0.1,22,50
2002,Alex Cintron,Diamondbacks,38,90,0.276,59,1.4,-3.3,0.4,0,23,50
1999,Alex Cora,Dodgers,11,31,0.181,0,0,-4.2,-1.7,-0.5,23,1386
1998,Alex Cora,Dodgers,29,38,0.179,4,0,-4.6,1.5,-0.2,22,1386
1992,Alex Diaz,Brewers,22,9,0.101,-47,-0.2,-1.7,-3.2,-0.5,23,1003260
2001,Alex Escobar,Mets,18,53,0.276,66,0.2,-2.2,-3.2,-0.4,22,383
1918,Alex Ferguson,Yankees,1,1,0,-100,0,-0.2,0,0,21,1003984
1890,Alex Ferson,Bisons,11,39,0.316,79,-0.3,-1.7,-0.1,0,23,1004017
1889,Alex Ferson,Nationals,36,124,0.178,18,-0.6,-17,8.2,-0.3,22,1004017
1884,Alex Gardner,Nationals,1,3,0,-43,0,-0.6,-3,-0.3,23,1004517
1955,Alex George,Athletics,5,11,0.148,-23,0,-1.7,-1.7,-0.3,16,1004617
1999,Alex Gonzalez,Marlins,136,591,0.321,87,-1.7,-11.9,-4.9,0.2,22,520
1995,Alex Gonzalez,Blue Jays,111,425,0.32,87,-1,-8.3,-3.1,0.3,22,281
1996,Alex Gonzalez,Blue Jays,147,587,0.305,74,0.4,-20.5,21.1,2.2,23,281
2000,Alex Gonzalez,Marlins,109,407,0.239,35,1,-35.1,0.4,-2,23,520
1998,Alex Gonzalez,Marlins,25,98,0.238,41,0,-7.4,-0.7,-0.5,21,520
1994,Alex Gonzalez,Blue Jays,15,59,0.216,20,0.6,-5.6,3.8,0,21,281
2007,Alex Gordon,Royals,151,601,0.316,87,2.7,-7.1,8.9,2.2,23,5209
2000,Alex Hernandez,Pirates,20,60,0.215,15,-0.3,-7.2,-3,-0.8,23,1005695
1964,Alex Johnson,Phillies,43,116,0.368,137,-0.5,4.4,-2.5,0.6,21,1006418
1965,Alex Johnson,Phillies,97,280,0.344,119,-0.7,5.3,-7.1,0.8,22,1006418
1966,Alex Johnson,Cardinals,25,91,0.226,41,-0.1,-6.4,-0.1,-0.4,23,1006418
1889,Alex Jones,Alleghenys,1,5,0.265,68,0,-0.3,0.3,0,19,1006523
1892,Alex Jones,- - -,22,74,0.226,50,-0.4,-5.6,3.3,0,22,1006523
